ДЕТАЛЬНАЯ СТРУКТУРА ФИЛЬТРОВ:
==================================================
1. id: order_34, name: filterOrder, enabled: True, displayed: False
2. id: order_1, name: filterOrder, enabled: True, displayed: False
3. id: order_2, name: filterOrder, enabled: True, displayed: False
4. id: order_3, name: filterOrder, enabled: True, displayed: False
5. id: order_4, name: filterOrder, enabled: True, displayed: False
6. id: order_35, name: filterOrder, enabled: True, displayed: False
7. id: popolarType_5, name: filterType, enabled: True, displayed: True
8. id: popolarType_6, name: filterType, enabled: True, displayed: True
9. id: popolarType_7, name: filterType, enabled: True, displayed: True
10. id: popolarType_36, name: filterType, enabled: True, displayed: True
11. id: popolarType_37, name: filterType, enabled: True, displayed: False
12. id: popolarType_38, name: filterType, enabled: True, displayed: False
13. id: btn-check-c1, name: grade, enabled: True, displayed: True
14. id: btn-check-c2, name: grade, enabled: True, displayed: True
15. id: btn-check-c3, name: grade, enabled: True, displayed: True
16. id: btn-check-c4, name: grade, enabled: True, displayed: True
17. id: btn-check-c5, name: grade, enabled: True, displayed: True
18. id: btn-check-c6, name: grade, enabled: True, displayed: True
19. id: btn-check-c7, name: grade, enabled: True, displayed: True
20. id: btn-check-c8, name: grade, enabled: True, displayed: True
21. id: btn-check-c9, name: grade, enabled: True, displayed: True
22. id: btn-check-c10, name: grade, enabled: True, displayed: True
23. id: btn-check-c11, name: grade, enabled: True, displayed: True
24. id: priceRange_1000, name: priceRange, enabled: True, displayed: True
25. id: priceRange_1500, name: priceRange, enabled: True, displayed: True
26. id: priceRange_2500, name: priceRange, enabled: True, displayed: True
27. id: priceRange_3500, name: priceRange, enabled: True, displayed: True
28. id: priceRange_4500, name: priceRange, enabled: True, displayed: False
29. id: priceRange_5500, name: priceRange, enabled: True, displayed: False
30. id: time_6, name: time, enabled: True, displayed: True
31. id: time_7, name: time, enabled: True, displayed: True
32. id: time_24, name: time, enabled: True, displayed: False
33. id: time_48, name: time, enabled: True, displayed: False
34. id: time_72, name: time, enabled: True, displayed: False
35. id: time_96, name: time, enabled: True, displayed: False
36. id: time_120, name: time, enabled: True, displayed: False
37. id: time_144, name: time, enabled: True, displayed: False
38. id: time_168, name: time, enabled: True, displayed: False
39. id: time_192, name: time, enabled: True, displayed: False
40. id: regions_77, name: regions, enabled: True, displayed: True
41. id: regions_50, name: regions, enabled: True, displayed: True
42. id: regions_40, name: regions, enabled: True, displayed: True
43. id: regions_33, name: regions, enabled: True, displayed: True
44. id: regions_71, name: regions, enabled: True, displayed: True
45. id: regions_76, name: regions, enabled: True, displayed: False
46. id: regions_62, name: regions, enabled: True, displayed: False
47. id: events_14, name: filterType, enabled: True, displayed: True
48. id: events_12, name: filterType, enabled: True, displayed: True
49. id: events_15, name: filterType, enabled: True, displayed: True
50. id: events_9, name: filterType, enabled: True, displayed: True
51. id: events_11, name: filterType, enabled: True, displayed: False
52. id: events_10, name: filterType, enabled: True, displayed: False
